出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,已發行普通股數或TDR原股發行股數
"1121213","1101","臺灣水泥股份有限公司","台泥","－ ","01","台北市中山北路2段113號","11913502","張安平","程耀輝","葉毓君","永續長","賴家柔","(02)2531-7099","19501229","19620209","新台幣                 10.0000元","77511817420","0","200000000","1","中國信託商業銀行代理部","66365566","台北市重慶南路一段83號5樓","勤業眾信聯合會計師事務所","翁雅玲","黃惠敏","TCC","No.113, Sec.2, Zhongshan N. Rd.,Taipei City 104,Taiwan (R.O.C.)","(02)2531-6529","finance@taiwancement.com","http://www.taiwancement.com","7551181742"
"1121213","1102","亞洲水泥股份有限公司","亞泥","－ ","01","台北市大安區敦化南路2段207號30、31樓","03244509","徐旭東","李坤炎","王照宇","協理","蔡祐吉","02-2733-8000","19570321","19620608","新台幣                 10.0000元","35465628810","0","0","1","亞東證券股份有限公司","02-7753-1699","新北市板橋區新站路16號13樓","勤業眾信聯合會計師事務所","戴信維","陳培德","ACC","30-31F., No.207, Sec. 2, Dunhua S. Rd., Da' an Dist., Taipei City 106, TaiwanTAIPEI,TAIWAN,R.O.C","02-2378-5191","service@acc.com.tw","www.acc.com.tw","3546562881"
"1121213","1103","嘉新水泥股份有限公司","嘉泥","－ ","01","台北市中山北路2段96號","11892801","張剛綸","王立心","金哲毅","永續發展辦公室經理","馮文裕","(02)2551-5211","19541213","19691114","新台幣                 10.0000元","7902474590","0","0","1","群益金鼎證券股份有限公司股代部","(02)2702-3999","台北市敦化南路2段97號地下2樓","勤業眾信聯合會計師事務所","陳薔旬","梁盛泰","CHC","No.96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.Taipei City 10449, Taiwan (R.O.C.)","(02)2511-4002","ir@chcgroup.com.tw","www.chcgroup.com.tw","790247459"
"1121213","1104","環球水泥股份有限公司","環泥","－ ","01","台北市南京東路二段125號10樓","07568009","博智投資股份有限公司","侯智升","楊宗仁","財務長","高琮堯","02-25077801","19600321","19710201","新台幣                 10.0000元","6732174670","0","0","1","永豐金證券股份有限公司","02-23816288","台北市博愛路17號3樓","勤業眾信聯合會計師事務所","李季珍","楊朝欽","UCC","10th F., 125 Nanking E.Rd Sec. 2,Taipei Taiwan","02-25075870","ucc@ucctw.com","www.ucctw.com","673217467"
"1121213","1108","幸福水泥股份有限公司","幸福","－ ","01","台北市松江路237號15樓","40601248","陳兩傳","陳兩傳","溫秀菊","財務部經理","陳一誠","25092188","19740507","19900606","新台幣                 10.0000元","4047380490","0","0","1","永豐金證券股務代理","2381-6288","台北市中正區博愛路17號3樓","勤業眾信聯合會計師事務所","陳招美","陳薔旬","LUCKY CEMENT","15TH FL.,NO.237,SUNG KIANG RD.,TAIPEI,TAIWAN,R.O.C.","25048672","wendy@luckygrp.com.tw","www.luckygrp.com.tw","404738049"
"1121213","1109","信大水泥股份有限公司","信大","－ ","01","台北市寶慶路37號7樓","03279507","楊智雄","楊大寬","張清壽","協理","蔡素秋","(02)23816731","19640315","19911205","新台幣                 10.0000元","3411588680","0","0","1","中國信託商業銀行代理部","(02)6636-5566","台北巿重慶南路一段83號5樓","資誠聯合會計師事務所","李秀玲","徐明釧","HsingTa","7TH FL.,No.37 Pao Ching RoadTaipei Taiwan R.O.C.","23314086","service@hsingta.com.tw","www.hsingta.com.tw","341158868"
"1121213","1110","東南水泥股份有限公司","東泥","－ ","01","高雄市前金區五福三路21號4樓之1","83078600","陳敏斷","吳炎輝","黃薪翰","財務部副總經理","唐榮宗","07-2711121","19561228","19941022","新台幣                 10.0000元","5720007970","0","0","1","元大證券股份有限公司","02-25865859","台北市承德路三段210號地下室1樓","國富浩華聯合會計師事務所","李青霖","黃鈴雯","TUNA CEMENT","NO.21 Wu Fu 3 RoadKaohsiung, Taiwan, R.O.C.","07-9505895","southeast@secement.com","www.southeastcement.com.tw","572000797"
"1121213","1201","味全食品工業股份有限公司","味全","－ ","02","台北市松江路125號","11347802","陳宏裕","張教華","黃國禎","財務長","待補","(02)25065020","19530922","19620209","新台幣                 10.0000元","5060629140","0","0","1","元大證券股務代理部","(02)25865859","台北市大同區承德路3段210號地下一樓","資誠聯合會計師事務所","黃世鈞","吳郁隆","WEI CHUAN","10F., No.125, Sung Chiang Rd.Taipei, Taiwan, R.O.C.","(02)25063182","service@weichuan.com.tw","http://www.weichuan.com.tw","506062914"
"1121213","1203","味王股份有限公司","味王","－ ","02","台北市中山北路二段79號5樓","07067309","陳清福","陳恭平","魏璟雄","經理","李兆弘","(02)25717271","19590704","19640824","新台幣                 10.0000元","2400000000","0","0","1","群益金鼎證券股份有限公司","27023999","台北市敦化南路二段97號地下2樓","大中國際聯合會計師事務所","林寬照","張卉諭","VE WONG","5TH FL., 79 CHUNG SHAN N. RD., SEC.2TAIPEI TAIWAN","(02)25811006","wei@vewong.com.tw","http://www.vewong.com","240000000"
"1121213","1210","大成長城企業股份有限公司","大成","－ ","02","台南市永康區蔦松二街三號","73008303","韓家宇","韓芳豪","夏銜譽","副總經理","許博涵","06-2531111","19601228","19780520","新台幣                 10.0000元","8947672220","0","0","1","中國信託商業銀行代理部","02-66365566","台北市重慶南路一段八十三號六樓","安侯建業會計師事務所","李逢暉","鍾丹丹","GREATWALL","3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN","06-2534596","ir@ms.greatwall.com.tw","http://www.dachan.com","894767222"
